jst,bid,ask,volume,volume_real,flags
2025-06-18 00:00:26.697000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:00:26.797000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:00:27.199000+09:00,73.365,73.429,0,0.0,1158
2025-06-18 00:00:27.396000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:00:27.498000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:00:27.697000+09:00,73.355,73.409,0,0.0,1158
2025-06-18 00:00:27.798000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:00:27.997000+09:00,73.365,73.429,0,0.0,1158
2025-06-18 00:00:28.499000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:00:29.001000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:00:29.801000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:00:30.001000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:00:30.201000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:00:31.106000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:00:31.205000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:00:31.606000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:00:32.306000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:00:32.507000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:00:33.409000+09:00,73.355,73.409,0,0.0,1028
2025-06-18 00:00:33.709000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:00:34.009000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:00:34.509000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:00:35.211000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:00:35.311000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:00:36.115000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:00:36.616000+09:00,73.375,73.429,0,0.0,1154
2025-06-18 00:00:36.716000+09:00,73.375,73.439,0,0.0,1028
2025-06-18 00:00:36.816000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:00:36.916000+09:00,73.345,73.409,0,0.0,1028
2025-06-18 00:00:37.521000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:00:37.621000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:00:37.921000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:00:38.021000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:00:38.621000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:00:39.623000+09:00,73.345,73.399,0,0.0,1028
2025-06-18 00:00:40.926000+09:00,73.335,73.399,0,0.0,1154
